baseline,lambda_cost,eta_cost,gamma_cost,nuisance_mode,mean_actionable_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
JSD,0.1,2.0,0.0,total,0.8933333333333334,0.017432291666666624,1.7570507812499996,0.7,True
MMD-RBF,0.25,0.0,0.0,total,0.7255208333333333,0.0762760416666667,1.5273502604166667,0.5333333333333333,True
KS-max,0.25,0.0,0.0,total,0.8359375,0.056503906250000006,1.934388020833333,0.6333333333333333,True
JSD,0.25,1.0,0.0,total,0.725,0.05234375,1.4705924479166663,0.6666666666666666,True
JSD,0.25,2.0,0.0,total,0.9583333333333334,0.08098958333333334,1.8273502604166667,0.7,True
Energy distance,0.5,0.0,0.0,total,1.06015625,0.41560546875000004,1.759388020833333,0.7,True
MMD-RBF,0.5,0.0,0.0,total,0.9588541666666667,0.3075260416666667,1.7523502604166667,0.6,True
KS-max,0.5,0.0,0.0,total,0.9109375,0.15207682291666666,1.9836458333333327,0.6333333333333333,True
Energy distance,0.5,0.0,0.01,total,0.894370222069323,0.24869041356353952,1.5939146166550664,0.7,True
MMD-RBF,0.5,0.0,0.01,total,0.8310836131012765,0.17897064420999675,1.6240783612854914,0.5666666666666667,True
Energy distance,0.5,0.25,0.0,total,0.9684895833333333,0.33697916666666666,1.6526236979166664,0.6666666666666666,True
MMD-RBF,0.5,0.25,0.0,total,0.7838541666666666,0.14895833333333333,1.5724088541666665,0.6333333333333333,True
JSD,0.5,0.25,0.0,total,0.6583333333333333,0.006503906250000006,1.509134114583333,0.6333333333333333,True
Energy distance,0.5,0.25,0.01,total,0.8027035554026564,0.17101599440940582,1.4876659811697999,0.6666666666666666,True
MMD-RBF,0.5,0.25,0.01,total,0.6560836131012766,0.021127700630202743,1.443949011381226,0.6,True
Energy distance,0.5,0.5,0.0,total,0.8768229166666667,0.24085937500000001,1.5721679687499994,0.7333333333333333,True
JSD,0.5,0.5,0.0,total,0.7166666666666667,0.07213541666666666,1.5265690104166667,0.6,True
Energy distance,0.5,0.5,0.01,total,0.7110368887359897,0.07401880029737452,1.4062772463252367,0.6666666666666666,True
Energy distance,0.5,1.0,0.0,total,0.6934895833333333,0.011197916666666667,1.4265950520833328,0.6,True
JSD,0.5,1.0,0.0,total,0.8333333333333334,0.14999348958333333,1.594544270833333,0.6666666666666666,True
JSD,0.5,2.0,0.0,total,1.0666666666666667,0.18539062500000003,1.9369856770833334,0.7,True
JSD,0.5,2.0,0.01,total,0.9001269857679726,0.019499610229497213,1.770531184339069,0.6666666666666666,True
Energy distance,1.0,0.0,0.0,total,2.11015625,1.3505143229166667,2.8846484375,0.9,True
MMD-RBF,1.0,0.0,0.0,total,1.4255208333333333,0.746328125,2.21927734375,0.8,True
KS-max,1.0,0.0,0.0,total,1.0609375,0.31640625,2.0948046875,0.7,True
JSD,1.0,0.0,0.0,total,0.8166666666666667,0.09504557291666667,1.76875,0.7,True
Energy distance,1.0,0.0,0.01,total,1.944370222069323,1.1842728668755977,2.7194320257759617,0.8666666666666667,True
MMD-RBF,1.0,0.0,0.01,total,1.2977502797679432,0.6174846230159637,2.091272739679994,0.7666666666666667,True
KS-max,1.0,0.0,0.01,total,0.8981892589678754,0.1542848940365124,1.9308540914936836,0.6666666666666666,True
Energy distance,1.0,0.0,0.05,total,1.2812261103466152,0.5194051794206024,2.0599447212391437,0.7666666666666667,True
MMD-RBF,1.0,0.0,0.05,total,0.7866680655063829,0.10636740644471133,1.5791275823116246,0.6,True
Energy distance,1.0,0.25,0.0,total,2.0184895833333334,1.2749869791666666,2.782037760416667,0.9,True
MMD-RBF,1.0,0.25,0.0,total,1.2505208333333333,0.5864518229166666,2.034680989583333,0.8,True
KS-max,1.0,0.25,0.0,total,0.9192708333333334,0.15205729166666668,1.9976757812499997,0.6666666666666666,True
JSD,1.0,0.25,0.0,total,0.875,0.17290364583333334,1.7692708333333333,0.7,True
Energy distance,1.0,0.25,0.01,total,1.8527035554026563,1.1085613398441756,2.616521859788368,0.8333333333333334,True
MMD-RBF,1.0,0.25,0.01,total,1.1227502797679432,0.4587656800765894,1.9066693774344394,0.7666666666666667,True
JSD,1.0,0.25,0.01,total,0.7084603191013058,0.006407812104279886,1.6030047113970718,0.6666666666666666,True
Energy distance,1.0,0.25,0.05,total,1.1895594436799486,0.44264527604531045,1.9528114003066972,0.8,True
Energy distance,1.0,0.5,0.0,total,1.9268229166666666,1.17447265625,2.6898502604166667,0.8666666666666667,True
MMD-RBF,1.0,0.5,0.0,total,1.0755208333333333,0.4239583333333333,1.863294270833333,0.7,True
JSD,1.0,0.5,0.0,total,0.9333333333333333,0.2372135416666667,1.7849088541666664,0.7,True
Energy distance,1.0,0.5,0.01,total,1.7610368887359897,1.007733241632063,2.5250441081526476,0.8333333333333334,True
MMD-RBF,1.0,0.5,0.01,total,0.9477502797679431,0.29662817142674164,1.7340672966025108,0.6666666666666666,True
JSD,1.0,0.5,0.01,total,0.7667936524346392,0.07086189738155221,1.6182970408690178,0.6666666666666666,True
Energy distance,1.0,0.5,0.05,total,1.097892777013282,0.3415116473857633,1.8650336556694915,0.7666666666666667,True
Energy distance,1.0,1.0,0.0,total,1.7434895833333333,0.9538736979166667,2.55,0.7666666666666667,True
MMD-RBF,1.0,1.0,0.0,total,0.7255208333333333,0.047636718750000015,1.5552864583333321,0.6,True
JSD,1.0,1.0,0.0,total,1.05,0.32837239583333333,1.8515950520833329,0.7333333333333333,True
Energy distance,1.0,1.0,0.01,total,1.5777035554026564,0.7873618941198879,2.384202439158353,0.7333333333333333,True
JSD,1.0,1.0,0.01,total,0.8834603191013058,0.16127681595488844,1.6849711745557767,0.7,True
Energy distance,1.0,1.0,0.05,total,0.9145594436799487,0.12286631117772294,1.721031722265533,0.7,True
Energy distance,1.0,2.0,0.0,total,1.3768229166666666,0.40989583333333335,2.3755208333333333,0.7,True
JSD,1.0,2.0,0.0,total,1.2833333333333334,0.37184895833333337,2.17474609375,0.7666666666666667,True
Energy distance,1.0,2.0,0.01,total,1.2110368887359897,0.24378118514051902,2.2098008304090477,0.6666666666666666,True
JSD,1.0,2.0,0.01,total,1.1167936524346394,0.20593138843485492,2.008214143780803,0.7333333333333333,True
Energy distance,2.0,0.0,0.0,total,4.21015625,3.16740234375,5.198450520833333,0.9666666666666667,True
MMD-RBF,2.0,0.0,0.0,total,2.3588541666666667,1.5439908854166666,3.237513020833333,0.8,True
KS-max,2.0,0.0,0.0,total,1.3609375,0.5648111979166667,2.3455859375,0.7,True
JSD,2.0,0.0,0.0,total,1.25,0.3856705729166667,2.3107161458333327,0.7333333333333333,True
Energy distance,2.0,0.0,0.01,total,4.044370222069323,3.0000501600309297,5.032954581208252,0.9666666666666667,True
MMD-RBF,2.0,0.0,0.01,total,2.2310836131012763,1.4152253722263963,3.1110624561651967,0.7666666666666667,True
KS-max,2.0,0.0,0.01,total,1.1981892589678758,0.4022259795792749,2.182631305683701,0.6666666666666666,True
JSD,2.0,0.0,0.01,total,1.083460319101306,0.2187534225344765,2.143637224514068,0.7,True
Energy distance,2.0,0.0,0.05,total,3.3812261103466152,2.333740829186475,4.371199699293517,0.9333333333333333,True
MMD-RBF,2.0,0.0,0.05,total,1.7200013988397163,0.9063667467357446,2.59879580312115,0.7666666666666667,True
Energy distance,2.0,0.0,0.1,total,2.5522959706932307,1.50102031875037,3.543982399414982,0.8666666666666667,True
MMD-RBF,2.0,0.0,0.1,total,1.0811486310127658,0.2679766438922183,1.9601048966368544,0.7333333333333333,True
Energy distance,2.0,0.25,0.0,total,4.118489583333333,3.0848567708333334,5.1018619791666655,0.9666666666666667,True
MMD-RBF,2.0,0.25,0.0,total,2.183854166666667,1.3908723958333333,3.0468815104166667,0.8333333333333334,True
KS-max,2.0,0.25,0.0,total,1.2192708333333333,0.4028385416666667,2.2547005208333335,0.6666666666666666,True
JSD,2.0,0.25,0.0,total,1.3083333333333333,0.47082682291666667,2.32240234375,0.7333333333333333,True
Energy distance,2.0,0.25,0.01,total,3.952703555402656,2.918058666385536,4.936924020975898,0.9666666666666667,True
MMD-RBF,2.0,0.25,0.01,total,2.0560836131012765,1.2627603366776705,2.9196180286211915,0.8,True
KS-max,2.0,0.25,0.01,total,1.0565225923012087,0.24055515137015407,2.0918534978126715,0.6666666666666666,True
JSD,2.0,0.25,0.01,total,1.1417936524346393,0.3044694276602842,2.156018485590036,0.7,True
Energy distance,2.0,0.25,0.05,total,3.2895594436799485,2.248632629315219,4.275036854046834,0.9333333333333333,True
MMD-RBF,2.0,0.25,0.05,total,1.5450013988397162,0.7510405912589097,2.4086359437247586,0.7666666666666667,True
Energy distance,2.0,0.25,0.1,total,2.460629304026564,1.4154765378246956,3.4482917415734167,0.8333333333333334,True
MMD-RBF,2.0,0.25,0.1,total,0.9061486310127655,0.11381224804732473,1.7675856652517299,0.7,True
Energy distance,2.0,0.5,0.0,total,4.026822916666666,2.990625,5.0237109375,0.9666666666666667,True
MMD-RBF,2.0,0.5,0.0,total,2.0088541666666666,1.2338216145833334,2.8617317708333334,0.8333333333333334,True
KS-max,2.0,0.5,0.0,total,1.0776041666666667,0.22731770833333337,2.1619921875,0.6,True
JSD,2.0,0.5,0.0,total,1.3666666666666667,0.5380208333333333,2.3304752604166667,0.7333333333333333,True
Energy distance,2.0,0.5,0.01,total,3.861036888735989,2.8252386669584957,4.858529988432219,0.9666666666666667,True
MMD-RBF,2.0,0.5,0.01,total,1.8810836131012763,1.105631052775456,2.733991737045371,0.8,True
KS-max,2.0,0.5,0.01,total,0.9148559256345421,0.06609560232687023,1.9983569498042542,0.6,True
JSD,2.0,0.5,0.01,total,1.2001269857679726,0.37144083949612383,2.1638017892057992,0.7,True
Energy distance,2.0,0.5,0.05,total,3.1978927770132817,2.1606244637883254,4.19782226149002,0.9333333333333333,True
MMD-RBF,2.0,0.5,0.05,total,1.3700013988397162,0.5934940791016707,2.2219243511958098,0.7666666666666667,True
Energy distance,2.0,0.5,0.1,total,2.3689626373598975,1.330462173786179,3.3712231554347576,0.8333333333333334,True
Energy distance,2.0,1.0,0.0,total,3.843489583333333,2.78798828125,4.868782552083333,0.9666666666666667,True
