contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_full: own-naive vs never,0.5,primary,5.2565,9.1573,False
ps_full: own-naive vs never,0.2,sensitivity,5.2565,9.1573,False
ps_full: own-naive vs never,1.0,sensitivity,5.2565,9.1573,False
unsw_full: own-naive vs never,0.5,primary,2.3703,2.7224,False
unsw_full: own-naive vs never,0.2,sensitivity,2.3703,2.7224,False
unsw_full: own-naive vs never,1.0,sensitivity,2.3703,2.7224,False
ton_full: own-naive vs never,0.5,primary,0.6289,1.4393,False
ton_full: own-naive vs never,0.2,sensitivity,0.6289,1.4393,False
ton_full: own-naive vs never,1.0,sensitivity,0.6289,1.4393,False
ps_full: own-naive vs frozen-naive,0.5,primary,0.3372,1.5888,False
ps_full: own-naive vs frozen-naive,0.2,sensitivity,0.3372,1.5888,False
ps_full: own-naive vs frozen-naive,1.0,sensitivity,0.3372,1.5888,False
unsw_full: own-naive vs frozen-naive,0.5,primary,0.9849,1.3188,False
unsw_full: own-naive vs frozen-naive,0.2,sensitivity,0.9849,1.3188,False
unsw_full: own-naive vs frozen-naive,1.0,sensitivity,0.9849,1.3188,False
ton_full: own-naive vs frozen-naive,0.5,primary,4.1505,7.8964,False
ton_full: own-naive vs frozen-naive,0.2,sensitivity,4.1505,7.8964,False
ton_full: own-naive vs frozen-naive,1.0,sensitivity,4.1505,7.8964,False
ps_full: own-point vs own-naive,0.5,primary,-0.0109,0.3773,True
ps_full: own-point vs own-naive,0.2,sensitivity,-0.0109,0.3773,False
ps_full: own-point vs own-naive,1.0,sensitivity,-0.0109,0.3773,True
ps_full: own-strict vs own-naive,0.5,primary,-0.2654,0.3549,True
ps_full: own-strict vs own-naive,0.2,sensitivity,-0.2654,0.3549,False
ps_full: own-strict vs own-naive,1.0,sensitivity,-0.2654,0.3549,True
unsw_full: own-point vs own-naive,0.5,primary,-0.3383,-0.0839,True
unsw_full: own-point vs own-naive,0.2,sensitivity,-0.3383,-0.0839,False
unsw_full: own-point vs own-naive,1.0,sensitivity,-0.3383,-0.0839,True
unsw_full: own-strict vs own-naive,0.5,primary,-0.3138,0.0177,True
unsw_full: own-strict vs own-naive,0.2,sensitivity,-0.3138,0.0177,False
unsw_full: own-strict vs own-naive,1.0,sensitivity,-0.3138,0.0177,True
ton_full: own-point vs own-naive,0.5,primary,0.3146,0.9893,False
ton_full: own-point vs own-naive,0.2,sensitivity,0.3146,0.9893,False
ton_full: own-point vs own-naive,1.0,sensitivity,0.3146,0.9893,True
ton_full: own-strict vs own-naive,0.5,primary,-0.2326,0.5935,False
ton_full: own-strict vs own-naive,0.2,sensitivity,-0.2326,0.5935,False
ton_full: own-strict vs own-naive,1.0,sensitivity,-0.2326,0.5935,True
ps_zero: own-naive vs never,0.5,primary,-2.2708,-1.1078,False
ps_zero: own-naive vs never,0.2,sensitivity,-2.2708,-1.1078,False
ps_zero: own-naive vs never,1.0,sensitivity,-2.2708,-1.1078,False
unsw_zero: own-naive vs never,0.5,primary,-0.7469,-0.5648,False
unsw_zero: own-naive vs never,0.2,sensitivity,-0.7469,-0.5648,False
unsw_zero: own-naive vs never,1.0,sensitivity,-0.7469,-0.5648,True
ton_zero: own-naive vs never,0.5,primary,-0.5039,-0.269,False
ton_zero: own-naive vs never,0.2,sensitivity,-0.5039,-0.269,False
ton_zero: own-naive vs never,1.0,sensitivity,-0.5039,-0.269,True
ps_zero: own-point vs own-naive,0.5,primary,0.457,1.0854,False
ps_zero: own-point vs own-naive,0.2,sensitivity,0.457,1.0854,False
ps_zero: own-point vs own-naive,1.0,sensitivity,0.457,1.0854,False
unsw_zero: own-point vs own-naive,0.5,primary,0.1003,0.2867,True
unsw_zero: own-point vs own-naive,0.2,sensitivity,0.1003,0.2867,False
unsw_zero: own-point vs own-naive,1.0,sensitivity,0.1003,0.2867,True
ton_zero: own-point vs own-naive,0.5,primary,0.0414,0.1802,True
ton_zero: own-point vs own-naive,0.2,sensitivity,0.0414,0.1802,True
ton_zero: own-point vs own-naive,1.0,sensitivity,0.0414,0.1802,True
ps_zero: own-strict vs own-naive,0.5,primary,1.3018,2.0596,False
ps_zero: own-strict vs own-naive,0.2,sensitivity,1.3018,2.0596,False
ps_zero: own-strict vs own-naive,1.0,sensitivity,1.3018,2.0596,False
unsw_zero: own-strict vs own-naive,0.5,primary,0.3969,0.6219,False
unsw_zero: own-strict vs own-naive,0.2,sensitivity,0.3969,0.6219,False
unsw_zero: own-strict vs own-naive,1.0,sensitivity,0.3969,0.6219,True
ton_zero: own-strict vs own-naive,0.5,primary,0.2172,0.4654,True
ton_zero: own-strict vs own-naive,0.2,sensitivity,0.2172,0.4654,False
ton_zero: own-strict vs own-naive,1.0,sensitivity,0.2172,0.4654,True
ps_zero: own-naive vs frozen-naive,0.5,primary,1.0271,3.881,False
ps_zero: own-naive vs frozen-naive,0.2,sensitivity,1.0271,3.881,False
ps_zero: own-naive vs frozen-naive,1.0,sensitivity,1.0271,3.881,False
unsw_zero: own-naive vs frozen-naive,0.5,primary,-0.0305,0.0891,True
unsw_zero: own-naive vs frozen-naive,0.2,sensitivity,-0.0305,0.0891,True
unsw_zero: own-naive vs frozen-naive,1.0,sensitivity,-0.0305,0.0891,True
ton_zero: own-naive vs frozen-naive,0.5,primary,3.2646,8.1453,False
ton_zero: own-naive vs frozen-naive,0.2,sensitivity,3.2646,8.1453,False
ton_zero: own-naive vs frozen-naive,1.0,sensitivity,3.2646,8.1453,False
