severity,method,n_seeds,post_balanced_accuracy_mean,degradation_area_mean,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,triggered_post_rate,false_alarm_any_rate,trigger_delay_windows_mean
0.75,MMD-RBF,30,0.899609375,0.0069713541666666665,0.22433593749999997,0.9666666666666667,0.21686197916666664,1.0,0.03333333333333333,2.0
0.75,No adaptation,30,0.6752734375,0.23130729166666666,0.0,0.0,0.0,0.0,0.0,
0.75,Oracle adaptation,30,0.9065807291666667,0.0,0.23130729166666664,0.0,0.0,1.0,0.0,0.0
0.75,QK-MMD PauliXZ,30,0.899609375,0.0069713541666666665,0.22433593749999997,0.9333333333333333,0.20968749999999997,1.0,0.06666666666666667,2.0
0.75,QK-MMD ZZ,30,0.899609375,0.0069713541666666665,0.22433593749999997,0.9333333333333333,0.20968749999999997,1.0,0.06666666666666667,2.0
1.0,MMD-RBF,30,0.8884296875000001,0.0095625,0.3066067708333333,1.0,0.3066067708333333,1.0,0.0,2.0
1.0,No adaptation,30,0.5818229166666666,0.3161692708333333,0.0,0.0,0.0,0.0,0.0,
1.0,Oracle adaptation,30,0.8979921875,0.0,0.3161692708333333,0.0,0.0,1.0,0.0,0.0
1.0,QK-MMD PauliXZ,30,0.8884296875000001,0.0095625,0.3066067708333333,1.0,0.3066067708333333,1.0,0.0,2.0
1.0,QK-MMD ZZ,30,0.8884296875000001,0.0095625,0.3066067708333333,1.0,0.3066067708333333,1.0,0.0,2.0
