claim_id,claim_text_short,evidence_tier,primary_source,unit_of_analysis,multiplicity_family,operational_scope,allowed_wording,forbidden_wording,status
gate_vs_naive_ton,b=32 gate beats always-deploying on ToN (both detectors),registered confirmatory core,results/tables/paper2_v2_replication_001/paired_ci.csv,seed-level paired difference (30 seeds),"confirmatory core (Holm, 6 tests)",balanced pool-based streams,lp32,n/a,verified
benefit_preservation,benefit/marginal regimes: gate preserves naive's benefit,registered confirmatory core (non-inferiority),results/tables/paper2_v2_replication_001/verdict.csv,seed-level paired difference vs pre-registered margin (-0.3),"CI/margin criterion, pre-registered (not a p-value family)",balanced pool-based streams,n/a,n/a,declared
degradation_headroom,incumbent health predicts update value (registered prediction),registered prediction test + per-trigger hierarchical model,results/tables/paper2_decision_quality_005/hierarchical_model.csv,"per-trigger, cluster (seed) bootstrap",descriptive/registered-prediction (no family),balanced pool-based streams; SVC-RBF generator family,n/a,n/a,declared
preprocessing_ownership,harm mechanism = preprocessing ownership (standardizer),registered A/B control + decomposition,results/tables/paper2_final_kbs/ab_equivalence.csv,seed-level role-randomized gap,pre-declared sign criteria (4),evaluated SVC-RBF pipeline,n/a,n/a,declared
own_transformer_equivalence,own-transformer gap equivalent to zero (+/-1.0 BA),"registered follow-up, bootstrap CI-based equivalence",results/tables/paper2_final_kbs/ab_equivalence.csv,"seed-level gap, 100 confirmatory seeds",pre-registered margin criterion (interval-inclusion TOST),"evaluated SVC-RBF pipeline, three benchmarks",bootstrap ci-based equivalence,exact tost p-value,verified
point_gate_32_labels,32-label point gate converts avg harm to avg benefit,registered confirmatory core,results/tables/paper2_v2_replication_001/summary.csv,seed-level paired difference (30 seeds),confirmatory core (Holm),controlled balanced-probe confirmatory setting ONLY,controlled balanced-probe confirmatory setting,32 labels suffice; a few labels are enough; both budgets are realistic; cheap and robust; validation costs little and protects,verified
vbc_sg_formal_guarantee,VBC-SG: stratified anytime-valid per-class guarantee,design + registered budget frontier,results/tables/paper2_final_q1/budget_frontier.csv,per-proposal confidence sequences (alpha spending),formal CS guarantee (not a sample p-value),balanced stratified probes; Cohort-sim resampling,n/a,zero probability of harm,verified
deployment_long_budget,deployment-long guarantee non-vacuous within evaluated budget,"registered budget frontier (BH, 15 cells)",results/tables/paper2_final_q1/budget_frontier.csv,seed-level paired gain (30 seeds/cell),"frontier block (BH, 15)",balanced-probe adjudication budget; acquisition cost not measured,non-vacuous within the evaluated balanced-probe adjudication budget,affordable rather than vacuous; guarantee is affordable,verified
zero_observed_harmful,0 harmful among 506 H5-evaluable commits (14 censored),"registered frontier, complete resolution-log accounting",results/raw/q1fc_*/paper2_v2_resolution_log.csv,factual count; commits clustered in seeds/scenarios/configs,none (descriptive count; no binomial bound),registered frontier sweep only,not treated as 506 independent bernoulli trials,0.73%; 0.726; clopper; eliminates harmful commits; zero probability of harm,verified
chronological_boundary,13 replays: no net harm; UNSW healthy: point/strict win; Wed unresolved,external boundary (chronological),results/tables/paper2_final_q1/chronological_replays.csv,seed-level paired gain per replay (30 seeds),"chronological block (BH, 7; strict only)",subsampled chronological replays,unresolved counterexample,every gate beats,verified
table11_acquisition_yield,"Table 11: attack-label acquisition yield, discovery only",feasibility (pool-based operational sensitivity),results/tables/paper2_final_q1/operational_e2e.csv,per-arm mean inspected flows per attack found,descriptive (no family),balanced eval stream/calibration/candidate; adjudication pool at operating prevalence; discovery never decides; 32 uniform validation adjudications; plain accuracy; pipeline cost not modeled,acquisition yield,what the commit decision costs; all labels sit at operating; cheapens the commit decision,verified
detector_invariance,gate effect holds under classical and quantum-kernel detectors,registered confirmatory core (criterion I),results/tables/paper2_v2_replication_001/verdict.csv,seed-level paired difference (30 seeds),confirmatory core (Holm),balanced pool-based streams,n/a,n/a,declared
cohort_sim_naming,VBC-SG-Cohort = proposal-target resampling simulation,design clarification,src/experiments/run_paper2_readaptation_v2.py (--vbc-defer-mode),n/a,n/a,simulator resampling of the proposal-time target distribution,cohort-sim,retained cohort; literal production cohort is retained,verified
multiplicity_method,centered paired bootstrap; families 6/15/7 outcome-independent,analysis methodology,results/tables/paper2_final_q1/multiplicity.csv,seed-level paired difference (30 seeds),Holm (6) + BH (15) + BH (7) = 28,all registered inferential families,centered paired bootstrap,exact paired bootstrap; exact bootstrap p-value,verified
size_matched_equivalence,"size-matched challengers: naive_2000 == never (+-0.5, CI90, 3/3)","registered confirmatory control (size-matched, seeds 4001-4030)",results/tables/size_matched_own_transformer_001/equivalence.csv,seed-level paired difference (30 fresh seeds),"size-matched F1 (Holm, 3)","zero drift, random proposal trigger, own-transformer, balanced pools; not observed-data, not full drift",equivalence margin,harm persists with size-matched; no individual candidate can be worse,verified
candidate_size_effect,4x candidate-size asymmetry explains the residual zero-drift harm,registered confirmatory control (nested candidate batches),results/tables/size_matched_own_transformer_001/paired_contrasts.csv,seed-level paired difference (30 fresh seeds),"size-matched F2 (Holm, 3)",attributable in the evaluated setting; nested 512-in-2000 draws,evaluated setting,explains all harm everywhere,verified
