contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_full: naive-512 vs never,0.5,primary,5.0,8.187,False
ps_full: naive-512 vs never,0.2,sensitivity,5.0,8.187,False
ps_full: naive-512 vs never,1.0,sensitivity,5.0,8.187,False
ps_full: naive-2000 vs never,0.5,primary,5.5539,8.6729,False
ps_full: naive-2000 vs never,0.2,sensitivity,5.5539,8.6729,False
ps_full: naive-2000 vs never,1.0,sensitivity,5.5539,8.6729,False
unsw_full: naive-512 vs never,0.5,primary,1.9372,2.531,False
unsw_full: naive-512 vs never,0.2,sensitivity,1.9372,2.531,False
unsw_full: naive-512 vs never,1.0,sensitivity,1.9372,2.531,False
unsw_full: naive-2000 vs never,0.5,primary,3.6107,4.201,False
unsw_full: naive-2000 vs never,0.2,sensitivity,3.6107,4.201,False
unsw_full: naive-2000 vs never,1.0,sensitivity,3.6107,4.201,False
ton_full: naive-512 vs never,0.5,primary,0.093,1.3659,False
ton_full: naive-512 vs never,0.2,sensitivity,0.093,1.3659,False
ton_full: naive-512 vs never,1.0,sensitivity,0.093,1.3659,False
ton_full: naive-2000 vs never,0.5,primary,0.4609,1.7578,False
ton_full: naive-2000 vs never,0.2,sensitivity,0.4609,1.7578,False
ton_full: naive-2000 vs never,1.0,sensitivity,0.4609,1.7578,False
ps_full: naive-2000 vs naive-512,0.5,primary,0.3125,0.7461,False
ps_full: naive-2000 vs naive-512,0.2,sensitivity,0.3125,0.7461,False
ps_full: naive-2000 vs naive-512,1.0,sensitivity,0.3125,0.7461,True
unsw_full: naive-2000 vs naive-512,0.5,primary,1.5,1.851,False
unsw_full: naive-2000 vs naive-512,0.2,sensitivity,1.5,1.851,False
unsw_full: naive-2000 vs naive-512,1.0,sensitivity,1.5,1.851,False
ton_full: naive-2000 vs naive-512,0.5,primary,0.2341,0.5367,False
ton_full: naive-2000 vs naive-512,0.2,sensitivity,0.2341,0.5367,False
ton_full: naive-2000 vs naive-512,1.0,sensitivity,0.2341,0.5367,True
ps_full: point-2000 vs naive-2000,0.5,primary,0.0039,0.0375,True
ps_full: point-2000 vs naive-2000,0.2,sensitivity,0.0039,0.0375,True
ps_full: point-2000 vs naive-2000,1.0,sensitivity,0.0039,0.0375,True
ps_full: strict-2000 vs naive-2000,0.5,primary,-0.1638,0.0753,True
ps_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.1638,0.0753,True
ps_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.1638,0.0753,True
unsw_full: point-2000 vs naive-2000,0.5,primary,-0.1867,0.068,True
unsw_full: point-2000 vs naive-2000,0.2,sensitivity,-0.1867,0.068,True
unsw_full: point-2000 vs naive-2000,1.0,sensitivity,-0.1867,0.068,True
unsw_full: strict-2000 vs naive-2000,0.5,primary,-0.6589,-0.193,False
unsw_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.6589,-0.193,False
unsw_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.6589,-0.193,True
ton_full: point-2000 vs naive-2000,0.5,primary,-0.0133,0.006,True
ton_full: point-2000 vs naive-2000,0.2,sensitivity,-0.0133,0.006,True
ton_full: point-2000 vs naive-2000,1.0,sensitivity,-0.0133,0.006,True
ton_full: strict-2000 vs naive-2000,0.5,primary,-0.5201,0.0161,False
ton_full: strict-2000 vs naive-2000,0.2,sensitivity,-0.5201,0.0161,False
ton_full: strict-2000 vs naive-2000,1.0,sensitivity,-0.5201,0.0161,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,0.0203,0.163,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,0.0203,0.163,True
ps_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,0.0203,0.163,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.1607,0.1927,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.1607,0.1927,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.1607,0.1927,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2578,0.1208,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2578,0.1208,False
unsw_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2578,0.1208,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.7654,-0.1956,False
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.7654,-0.1956,False
unsw_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.7654,-0.1956,True
ton_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.6073,-0.0576,False
ton_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.6073,-0.0576,False
ton_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.6073,-0.0576,True
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.7552,-0.1187,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.7552,-0.1187,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.7552,-0.1187,True
