block_id,evidence_tier,script,seed_window,registered_protocol,manuscript_target,output_glob,n_arm_dirs,status
post_kbs_size_matched_drift,registered confirmatory control (post-KBS B2),src.experiments.run_symmetric_pipeline_replication,6001-6030,"notes/post_kbs_size_matched_drift_protocol_001.md (protocol frozen a68c90e BEFORE implementation 9f1159a; config configs/post_kbs_size_matched_drift_v1.json, SHA-256 2ca8f4d3 in every run_config.json, operational keys derived from configs/symmetric_pipeline_dynamic_v1.json@sha256:52794778; analysis src/analysis/make_post_kbs_size_matched_drift_001.py committed pre-run; nested 512-in-2000 candidate batches drawn at the proposal-time severity, prefix-hash and severity equality verified at every coupled proposal; confirmatory results committed 61f5c5a; per-arm source commit, candidate size, nested-draw domain, raw-stream hash and completion in results/tables/post_kbs_size_matched_drift_001/run_completion.csv; registered outcome HOMOGENEOUS-SIZE BENEFIT; sealed at v1.23.0)","tab:synthesis, tab:size_matched_drift, tab:size_matched_drift_supp, tab:size_matched_drift_security",post_kbs_size_matched_drift/smd_*,21,present
post_kbs_common_harness_baselines,registered confirmatory comparison (post-KBS B1),src.experiments.run_symmetric_pipeline_replication,5001-5030,"notes/post_kbs_common_harness_baselines_protocol_001.md (protocol frozen a68c90e) + notes/post_kbs_common_harness_baselines_amendment_001.md (5a4ce6f, BEFORE implementation 9f58b6c; config configs/post_kbs_common_harness_baselines_v2.json, SHA-256 b6e4e1f6 in every run_config.json; analysis src/analysis/make_post_kbs_common_harness_001.py committed pre-run; confirmatory results committed 8285b04; per-arm source commit, candidate size, trigger mode, gate and completion in results/tables/post_kbs_common_harness_baselines_001/run_completion.csv; statements S1-S4 evaluated literally; information budgets documented, not equalized; sealed at v1.23.0)","tab:common_harness, tab:common_harness_supp_primary, tab:common_harness_supp_secondary, tab:common_harness_supp_statements",post_kbs_common_harness_baselines/bh_*,96,present
size_matched_own_transformer,registered confirmatory control,src.experiments.run_symmetric_pipeline_replication,4001-4030,"notes/paper2_size_matched_own_transformer_protocol_001.md (protocol 114513f frozen BEFORE implementation; config configs/size_matched_own_transformer_v1.json, SHA-256 6873cc1a in every run_config.json; nested 512-in-2000 candidate batches, 999 pairs verified; per-arm source commit, candidate size, raw-stream hash and completion in results/tables/size_matched_own_transformer_001/run_completion.csv; per-candidate provenance in candidate_provenance.jsonl, validated by tests/test_size_matched_control.py; registered outcome ATTENUATION)",tab:size_matched,size_matched_own_transformer/sm_*,21,present
symmetric_pipeline_dynamic,registered confirmatory replication,src.experiments.run_symmetric_pipeline_replication,3001-3030,"notes/paper2_symmetric_pipeline_dynamic_protocol_001.md (protocol 8838566 + Appendix A 96576bb; per-arm source commit, transformer policy, raw-stream hash and completion in results/tables/symmetric_pipeline_dynamic_001/run_completion.csv; scaler/PCA/effective-gamma provenance in pipeline metadata, validated by tests/test_symmetric_pipeline.py)",tab:symmetric_pipeline,symmetric_pipeline/sp_*,42,present
confirmatory_v2,registered confirmatory core,src.experiments.run_paper2_readaptation_v2,104-133,notes/paper2_harness_v2_registered_replication_protocol_001.md,tab:v2_confirmatory,paper2_v2_*,73,present
causal_matrix_64,registered follow-up,src.experiments.run_paper2_readaptation_v2,104-133,notes/final_kbs_protocol.md,tab:causal_probe,paper2_fk_*_c64_*,18,present
zero_drift,registered follow-up,src.experiments.run_paper2_readaptation_v2,104-133,notes/paper2_harness_v2_amendment_009.md,tab:zero_drift,paper2_v1*_rz_*,93,present
generators_classifiers,registered follow-up,src.experiments.run_paper2_readaptation_v2,104-133,notes/paper2_harness_v2_amendment_009.md,tab:amendment009,paper2_v11_*,101,present
mild_drift_prediction,registered follow-up,src.experiments.run_paper2_readaptation_v2,104-133,notes/paper2_harness_v2_amendment_006.md,tab:harm_generality,paper2_v8_*_sev025_*,6,present
budget_frontier,registered follow-up,src.experiments.run_paper2_readaptation_v2,501-530,notes/q1_max_protocol.md (D3),tab:budget_frontier,q1fc_*,99,present
symmetric_ab_confirmatory,registered follow-up,src.analysis.paper2_symmetric_ab_final,2001-2100 (pilot 104-133),notes/q1_max_protocol.md (D2),tab:ab_equivalence,(analysis-only; reads processed pools directly),0,present
chronological_matrix,external boundary,src.experiments.run_paper2_temporal_stream,601-630,notes/q1_max_protocol.md (D4),tab:chronological_q1,q1fd_*,28,present
operational_simulation,feasibility (pool-based),src.experiments.run_paper2_operational_e2e,801-830 (pilot 701-730),notes/q1_max_protocol.md (D5) + blocker D,tab:operational_e2e,q1fd5b_*,36,present
policy_frontier_costs,registered follow-up,src.experiments.run_paper2_readaptation_v2,104-133,notes/paper2_harness_v2_amendment_005.md,"tab:policy_frontier, tab:label_cost",paper2_v6_*,45,present
